"bossid"	"jobid"	"lat"	"lng"
2122822	5433488	39.9321	116.46
2124920	670628	39.9039	116.427
2124920	2473443	39.9039	116.427
2124920	2473464	39.9039	116.427
2124920	2473476	39.9039	116.427
2124920	2473496	39.9039	116.427
2124920	2473685	39.9039	116.427
2128962	5357194	39.8938	116.48
2129062	5497023	39.8944	116.462
2133383	681102	39.9143	116.478
2141988	690351	39.9092	116.473
2151077	4483722	39.8939	116.48
2156755	759162	39.916	116.492
2164647	5747388	39.9324	116.453
2166746	711018	39.9314	116.451
2166746	1199580	39.9314	116.451
2166746	2938364	39.9314	116.451
2170515	4467159	39.9073	116.472
2174929	719343	39.9077	116.438
2175026	6020191	39.9064	116.439
2175026	6044022	39.9064	116.439
2180648	1902557	39.9099	116.459
2185669	6140075	39.9143	116.478
2189964	3521174	39.8958	116.431
2189964	4725895	39.8958	116.431
2195000	748023	39.9282	116.451
21988	2941577	39.9343	116.463
21988	4430372	39.9343	116.463
21988	4434865	39.9343	116.463
21988	5158443	39.9343	116.463
2200885	748457	39.916	116.492
2200885	2194682	39.916	116.492
2207248	755094	39.9296	116.471
2208356	3726684	39.8928	116.459
2212341	1258686	39.9177	116.461
2213110	904293	39.9212	116.44
2213110	1510436	39.9212	116.44
2213110	1799014	39.9212	116.44
2213158	3139647	39.9222	116.439
2213926	788362	39.8967	116.461
2213926	3182976	39.8967	116.461
2213926	3188353	39.8967	116.461
2213926	5086129	39.8967	116.461
2213926	5155903	39.8967	116.461
2213926	5288262	39.8967	116.461
2216774	4368309	39.9292	116.464
2216774	4760593	39.9292	116.464
2217078	764406	39.9201	116.444
2231696	994341	39.8942	116.479
2231696	1201185	39.8942	116.479
22351	5651269	39.9127	116.456
2243175	5711485	39.9265	116.446
2248266	2054944	39.9216	116.439
2248266	2889307	39.9216	116.439
2248266	4552127	39.9216	116.439
2250518	3865400	39.9329	116.453
2259410	5767325	39.8914	116.465
2262506	3635942	39.9247	116.438
2263553	4434679	39.894	116.478
2264304	4618200	39.9238	116.451
2278489	3510457	39.8938	116.479
2280642	834246	39.9108	116.477
2280642	5825603	39.9108	116.477
2280642	6133663	39.9108	116.477
2280642	6170655	39.9108	116.477
2282218	836165	39.8892	116.463
2282218	4678136	39.8892	116.463
2282218	4717755	39.8892	116.463
2290743	4971211	39.8995	116.493
2303440	1832231	39.8818	116.46
2303440	5150228	39.8818	116.46
2303440	5150250	39.8818	116.46
2306444	2347601	39.9091	116.474
2306444	3819473	39.9091	116.474
2311519	2068539	39.934	116.451
2314333	5516313	39.882	116.46
2317635	5240384	39.8942	116.48
2321364	5664631	39.9327	116.459
2327685	3940952	39.8932	116.479
2330287	1781707	39.9285	116.482
2335984	5843315	39.9141	116.46
2342368	4541761	39.9	116.469
2347928	883445	39.8991	116.459
2347928	3762979	39.8991	116.459
2349111	6199324	39.915	116.495
2373538	2301734	39.9219	116.44
2373538	2303514	39.9219	116.44
2380119	3776969	39.9177	116.459
2413925	955292	39.9224	116.449
2413925	5020720	39.9224	116.449
2420745	5890302	39.8939	116.48
2423017	3629154	39.919	116.457
2432159	1138736	39.9315	116.451
2432159	1441046	39.9315	116.451
2432159	2233034	39.9315	116.451
2454844	949941	39.8937	116.474
2454844	1324452	39.8937	116.474
2454844	6065626	39.8937	116.474
2460898	1165870	39.9175	116.458
2477900	1570168	39.9177	116.452
2488420	2941971	39.9206	116.433
2491133	977508	39.8941	116.48
2491133	1889546	39.8941	116.48
2505352	990441	39.8926	116.461
2507599	4878220	39.8937	116.476
2507599	5505711	39.8937	116.476
2507599	5536506	39.8937	116.476
2510124	1015987	39.9096	116.481
2511028	2248782	39.9097	116.46
2524933	4979336	39.894	116.435
2530963	1620540	39.9074	116.476
2531151	5928576	39.9239	116.448
2548213	5503800	39.8939	116.482
2549898	5032791	39.8948	116.461
2550145	4910248	39.9316	116.477
2553573	5766836	39.8941	116.48
2556784	2780030	39.91	116.448
2557273	5840696	39.9321	116.457
2565695	5894018	39.8941	116.48
2565695	6102431	39.8941	116.48
2568096	3946938	39.9319	116.455
2581914	3040317	39.9091	116.481
2582275	4288108	39.9049	116.459
2584156	2033786	39.9065	116.477
2585970	3046272	39.9075	116.459
25899	705130	39.9216	116.439
25899	4780981	39.9216	116.439
2599003	1586983	39.8818	116.461
2604884	3593458	39.9133	116.477
2613819	1091251	39.9067	116.463
2613819	1903935	39.9067	116.463
2629577	3687058	39.9156	116.455
26301	2997594	39.899	116.46
2634267	1580954	39.8891	116.462
2640885	2506831	39.9102	116.479
2663143	3345060	39.933	116.451
2663143	4602176	39.933	116.451
2669952	2177937	39.896	116.44
2669952	2203353	39.896	116.44
2670642	1137849	39.8818	116.46
2670642	2102455	39.8818	116.46
2670642	2170272	39.8818	116.46
2670642	3631660	39.8818	116.46
26748	171517	39.8961	116.461
26748	821108	39.8961	116.461
2684923	5080821	39.9323	116.455
2690276	1153572	39.9004	116.493
2692720	3761189	39.889	116.456
2709920	1170597	39.9317	116.444
2710047	1255102	39.9323	116.454
2711047	1281344	39.8938	116.479
2711047	1413058	39.8938	116.479
2716753	2115380	39.9131	116.477
2739605	6137850	39.8979	116.46
2746684	5938111	39.8955	116.436
2752355	1230430	39.894	116.478
2764971	1210400	39.9323	116.454
2772105	5641887	39.9323	116.454
2775519	3034168	39.9205	116.455
2793915	5688144	39.8889	116.479
2809136	5686311	39.9317	116.444
2816223	2947315	39.9125	116.46
2821638	1252308	39.894	116.48
2821638	3675324	39.894	116.48
2822186	1483631	39.922	116.461
2831902	5800832	39.9194	116.443
28699	3445514	39.91	116.441
28951	3442353	39.9265	116.485
2906490	2132707	39.9329	116.455
2922523	1314790	39.8854	116.468
2924525	5987780	39.9091	116.482
2924525	6008565	39.9091	116.482
2927892	1694234	39.9114	116.461
2927892	6178298	39.9114	116.461
2943758	2053825	39.8872	116.463
2943758	2062738	39.8872	116.463
2947104	1824929	39.914	116.471
2952280	5989276	39.9092	116.474
2960733	2780238	39.9065	116.46
2982159	1357606	39.9061	116.459
2992976	6007662	39.9114	116.477
3017232	1552367	39.8924	116.478
3017232	1815370	39.8924	116.478
3018853	3973480	39.8968	116.462
3018853	4066880	39.8968	116.462
3022473	5700271	39.9075	116.471
3035407	3470936	39.9113	116.457
3035407	3470989	39.9113	116.457
3040205	3465168	39.9151	116.458
3040515	3955983	39.9331	116.451
3040515	4602141	39.9331	116.451
3042097	1402209	39.9285	116.481
3054758	2385157	39.9133	116.489
3055340	2085929	39.8941	116.433
3056476	1628737	39.8974	116.435
3056476	3039821	39.8974	116.435
3058643	1937407	39.9322	116.455
3058643	5641078	39.9322	116.455
3059650	1419667	39.9232	116.48
3059650	2495565	39.9232	116.48
3059650	3841414	39.9232	116.48
3065647	1447052	39.9062	116.442
3067719	1427523	39.9233	116.48
3067719	2803415	39.9233	116.48
3067719	3040873	39.9233	116.48
3069017	1430006	39.9067	116.474
3070200	1429944	39.9075	116.457
3071127	1430974	39.9298	116.444
